IDCarro;Oficina;Servico;Mecanico;DataEntrada;DataSaida;Responsavel;Obs;ValorServico
29;MOTOSHOP VEICULOS E PEÇAS LTDA;peças diversos (motos);Toinho;24/10/2003;24/10/2003;arley;;22.84
19;RADBAT-PB;Troca de Bateria;Toinho;27/10/2003;27/10/2003;fabio;;95
8;RADBAT-PB;Troca de Bateria;Toinho;30/07/2003;30/07/2003;rostanda;esta bateria foi comprada p/corsa vermelho que foi vendido.e retirado a bateria p/o celta mop 3260/pb;95
19;AUTO ELÉTRICA DO GERALDO;serviço no motor de partida;geraldo;27/10/2003;27/10/2003;fabio;;20
2;RADBAT-PB;Troca de Bateria;Toinho;01/08/2003;01/08/2003;patrickson;foi feito a revisão da bateria no dia 18/10/03
proxima revisão dia 01/12/03;95
29;MOTOSHOP VEICULOS E PEÇAS LTDA;troca de óleo;Toinho;10/10/2003;10/10/2003;tacio;;7
11;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;16/10/2003;16/10/2003;klebio;foi trocado filtro óleo nesta data.;19.10
19;OFICINA NOSSA SENHORA DA PENHA;Velas;piloto;28/10/2003;28/10/2003;fabio;;30
11;OFICINA NOSSA SENHORA DA PENHA;suspenção diversos;piloto;29/10/2003;29/10/2003;klebio;piloto cobrou de mão de obra R$ 50
foi trocado 1 coxim moto.1 coxim cambio.2 coxim de amort.2 pivo da susp.2 terminais de direção.;315
18;OFICINA NOSSA SENHORA DA PENHA;troca de colar.plator.disco;piloto;28/10/2003;28/10/2003;reserva;piloto cobrou R$ 50 de mão de obra.;200
8;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;17/10/2003;17/10/2003;rostanda;;19.10
5;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;01/11/2003;01/11/2003;gutemberg;foi trocado tambem filtro de óleo.filtro de ar.;19.10
32;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;01/11/2003;01/11/2003;lucio;foi trocado filtro de óleo na mesma data.;32
11;OFICINA NOSSA SENHORA DA PENHA;alinhamento.balanciamento;Toinho;01/11/2003;01/11/2003;klebio;;15
